Company,City,Starting Year,Founders,Industries,Description,No. of Employees,Funding Amount in $,Funding Round,No. of Investors,Company_clean,Founders_clean,founders_count,startup_clean,SeriesA_flag,num_funding_rounds,early_total_funding,unique_investors_count
Urban Company,Gurgaon,2014,"Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan","Apps, Home Services, Marketplace, Service Industry",Urban is a marketplace for independent contractors.,1001-5000,"445,920,356",12,16,urban company,"Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan",3,,0.0,0.0,0.0,0.0
Classplus,Noida,2018,"Bhaswat Agarwal, Bikash Dash, Mukul Rustagi, Nikhil Goel, Vatsal Rustagi","B2B, E-Learning, EdTech, Education, Mobile Apps, SaaS, Software",Classplus is a mobile-first SaaS platform that allows 3000+ tutors to totally automate their curriculum and operations.,101-250,"89,506,451",10,20,classplus,"Bhaswat Agarwal, Bikash Dash, Mukul Rustagi, Nikhil Goel, Vatsal Rustagi",5,classplus,0.0,3.0,918.0,5.0
Paytm,Noida,2010,"Akshay Khanna, Vijay Shekhar Sharma","E-Commerce, Finance, Financial Services, Internet, Mobile Apps, Mobile Payments",Paytm is a payment gateway that allows users and businesses to make payments.,501-1000,"32,448,851",4,4,paytm,"Akshay Khanna, Vijay Shekhar Sharma",2,paytm,0.0,8.0,8072.84,9.0
Apna,Mumbai,2019,Nirmit Parikh,"Employment, Human Resources, Recruiting, Staffing Agency",Apna is a professional networking and job-search platform that connects blue- and gray-collar professionals with like-minded people and places to work.,101-250,"93,450,000",4,6,apna,Nirmit Parikh,1,,0.0,0.0,0.0,0.0
Razorpay,Bengaluru,2014,"Harshil Mathur, Shashank Kumar","Financial Services, FinTech, Payments, Software","Razorpay is a payment acceptance, processing, and disbursement platform for businesses.",1001-5000,"366,600,000",7,29,razorpay,"Harshil Mathur, Shashank Kumar",2,razorpay,0.0,6.0,489.24,8.0
UpGrad,Mumbai,2015,"Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala","E-Learning, EdTech, Education","UpGrad is a higher education portal that offers courses in Data Science, Technology, Management, and Law online.",1001-5000,"176,283,446",4,4,upgrad,"Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala",4,,0.0,0.0,0.0,0.0
Delhivery,Gurgaon,2011,"Bhavesh Manglani, Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","E-Commerce, Freight Service, Last Mile Transportation, Logistics, Shipping, Supply Chain Management, Transportation, Warehousing","Delhivery is a supply chain management firm that specializes in transportation, warehousing, freight, and order fulfillment.",5001-10000,"1,236,569,361",11,13,delhivery,"Bhavesh Manglani, Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan",5,,0.0,0.0,0.0,0.0
1mg,Gurgaon,2015,"Anurag Mundhada, Gaurav Agarwal, Prashant Tandon, Sameer Maheshwari, Vikas Chauhan","Delivery, E-Commerce, Health Care, Internet, Medical, Pharmaceutical",1mg is a generic drug engine and online pharmacy network platform.,Nov-50,"204,600,209",16,17,1mg,"Anurag Mundhada, Gaurav Agarwal, Prashant Tandon, Sameer Maheshwari, Vikas Chauhan",5,1mg,0.0,6.0,460.5,10.0
BigBasket,Bengaluru,2011,"Abhinay Choudhari, Hari Menon, Vipul Parekh, VS Ramesh, VS Sudhakar","Delivery, Delivery Service, E-Commerce, Grocery, Internet, Retail, Shopping",BigBasket is an online grocery and meal delivery service that brings personal and household items to customers' doorsteps.,5001-10000,"1,119,863,468",17,17,bigbasket,"Abhinay Choudhari, Hari Menon, Vipul Parekh, VS Ramesh, VS Sudhakar",5,,0.0,0.0,0.0,0.0
GoMechanic,Gurgaon,2016,"Amit Bhasin, Kushal Karwa, Nitin Rana, Puneet Gulati, Rishabh Karwa","Automotive, Customer Service, E-Commerce, Sales",GoMechanic is an online vehicle repair platform that allows consumers to arrange car maintenance at a convenient time.,251-500,"59,849,371",8,9,gomechanic,"Amit Bhasin, Kushal Karwa, Nitin Rana, Puneet Gulati, Rishabh Karwa",5,gomechanic,0.0,4.0,17.060000000000002,5.0
Unacademy,Bengaluru,2015,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta","E-Learning, EdTech, Education, Training",Unacademy is a web-based learning portal that offers educational materials such as video lectures and exams.,251-500,"398,500,000",11,36,unacademy,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta",4,unacademy,0.0,7.0,1048.92,25.0
Ola,Kormangala,2010,"Ankit Bhati, Bhavish Aggarwal","Apps, Internet, Mobile, Ride Sharing, Transportation",Ola is an Indian mobility platform and ride-hailing firm.,5001-10000,"3,808,672,049",25,45,ola,"Ankit Bhati, Bhavish Aggarwal",2,ola,0.0,18.0,17681.16,26.0
Licious,Bengaluru,2015,"Abhay Hanjura, Vivek Gupta","Delivery Service, E-Commerce, Food and Beverage, Food Delivery",Licious is an online meat and seafood ordering firm with a complete business model.,1001-5000,"158,589,644",7,20,licious,"Abhay Hanjura, Vivek Gupta",2,licious,0.0,7.0,615.5,10.0
CRED,Bengaluru,2018,Kunal Shah,"Credit Cards, Financial Services, FinTech, Payments, Personal Finance",CRED is a members-only credit card management and bill-paying website that pays customers for paying their bills on time.,251-500,"471,205,550",6,28,cred,Kunal Shah,1,cred,0.0,3.0,6640.0,3.0
CityMall,Gurgaon,2019,"Angad Kikla, Divij Goyal, Naisheel Verdhan","Consumer Goods, E-Commerce, Lifestyle",CityMall is a peer-to-peer e-commerce company that offers lifestyle and curated products through WhatsApp referrals.,101-250,"37,100,000",5,14,citymall,"Angad Kikla, Divij Goyal, Naisheel Verdhan",3,,0.0,0.0,0.0,0.0
Pine Labs,Noida,1998,"Rajul Garg, Tarun Upaday","Financial Services, FinTech, Information Technology, Payments",Pine Labs is a merchant commerce platform that offers merchants funding and technology for last-mile retail transactions.,1001-5000,"423,238,799",8,15,pine labs,"Rajul Garg, Tarun Upaday",2,pine labs,0.0,3.0,990.6600000000001,4.0
Dodla Dairy,Hyderabad,1995,D. Sunil Reddy,"Consumer Goods, Food and Beverage, Food Processing, Manufacturing",Dodla Dairy processes and distributes milk and dairy products with added value.,501-1000,"71,276,176",3,13,dodla dairy,D. Sunil Reddy,1,,0.0,0.0,0.0,0.0
Groww,Bengaluru,2017,"Harsh Jain, Ishan Bansal, Lalit Keshre, Neeraj Singh","Financial Services, FinTech, Funding Platform, Impact Investing",Groww is a new investment platform that combines stockbroking and direct mutual funds to provide a new way to invest money.,251-500,"142,262,674",6,16,groww,"Harsh Jain, Ishan Bansal, Lalit Keshre, Neeraj Singh",4,groww,0.0,4.0,2509.29,5.0
Grofers,Gurgaon,2013,"Albinder Dhindsa, Saurabh Kumar","Delivery, E-Commerce, E-Commerce Platforms, Grocery, Retail",Grofers is a low-cost online supermarket that also delivers groceries.,1001-5000,"662,398,135",13,13,grofers,"Albinder Dhindsa, Saurabh Kumar",2,grofers,0.0,5.0,2450.25,8.0
Jumbotail,Bengaluru,2015,"Ashish Jhina, Karthik Venkateswaran","E-Commerce, Food and Beverage, Grocery, Marketplace, Retail",Jumbotail is an online marketplace that makes groceries and food purchasing easier.,101-250,"₹55,345,400",8,20,jumbotail,"Ashish Jhina, Karthik Venkateswaran",2,jumbotail,0.0,3.0,1390.13,6.0
slice,Bengaluru,2016,"Deepak Malhotra, Rajan Bajaj","Banking, Financial Services, FinTech, Lending, Payments","Slice is the finest credit card challenger in India for paying bills, managing finances, and earning quick rewards.",251-500,"₹53,665,909",8,20,slice,"Deepak Malhotra, Rajan Bajaj",2,slice,0.0,1.0,50.0,1.0
InMobi,Bengaluru,2007,"Abhay Singhal, Amit Gupta, Mohit Saxena, Naveen Tewari, Piyush Shah","Advertising, Advertising Platforms, Digital Media, Marketing, Mobile",InMobi creates an ad serving algorithm that aids in the optimization of the ranking of advertising displayed on mobile phones.,501-1000,"₹320,600,000",7,6,inmobi,"Abhay Singhal, Amit Gupta, Mohit Saxena, Naveen Tewari, Piyush Shah",5,inmobi,0.0,1.0,825.0,1.0
Dunzo,Bengaluru,2015,"Ankur Aggarwal, Dalvir Suri, Kabeer Biswas, Mukund Jha","Delivery, Delivery Service, E-Commerce, Mobile, Mobile Apps",Dunzo is a hyper-local delivery app that matches consumers with the closest delivery partner.,1001-5000,"₹128,399,438",15,24,dunzo,"Ankur Aggarwal, Dalvir Suri, Kabeer Biswas, Mukund Jha",4,dunzo,0.0,8.0,3353.09,7.0
BYJU’S,Bengaluru,2011,"Byju Raveendran, Divya Gokulnath","E-Learning, EdTech, Education, Higher Education, Software",BYJU'S is an educational technology firm that creates tailored learning programs for kids in grades K through 12.,10001+,"₹2,745,964,432",18,38,byju’s,"Byju Raveendran, Divya Gokulnath",2,,0.0,0.0,0.0,0.0
Cashfree,Bengaluru,2015,"Akash Sinha, Reeju Datta","Finance, Financial Services, FinTech, Mobile Payments, Payments",Cashfree is a payments and banking technology startup based in India that helps businesses collect payments and make payouts online.,251-500,"₹40,920,000",4,6,cashfree,"Akash Sinha, Reeju Datta",2,cashfree,0.0,2.0,2900.99,3.0
MediBuddy,Bengaluru,2000,Satish Kannan,"Health Care, Health Insurance, Medical, mHealth","MediBuddy is a digital healthcare platform that offers inpatient and outpatient hospitalization, as well as corporate wellness benefits.",1001-5000,"₹67,132,379",5,12,medibuddy,Satish Kannan,1,,0.0,0.0,0.0,0.0
Progcap,New Delhi,2017,Pallavi Shrivastava,"Enterprise, Finance, Financial Services, FinTech, Supply Chain Management",Progcap is a financial services firm that assists micro and small businesses with financing.,Nov-50,"₹32,324,325",4,9,progcap,Pallavi Shrivastava,1,progcap,1.0,1.0,41.25,1.0
Capital Float,Bengaluru,2013,"Gaurav Hinduja, Sashank Rishyasringa","B2B, Financial Services, FinTech, Small and Medium Businesses",Cash Float is an online platform that helps small businesses get operating capital.,51-100,"₹150,417,120",11,12,capital float,"Gaurav Hinduja, Sashank Rishyasringa",2,capital float,0.0,8.0,707.61,15.0
CARS24,Gurgaon,2015,"Gajendra Jangid, Mehul Agrawal, Ruchit Agarwal, Vikram Chopra","Artificial Intelligence, Automotive, B2C, E-Commerce, Marketplace, Sales Automation, Software, Transaction Processing",CARS24 is a technologically advanced platform for buying and selling used vehicles.,1001-5000,"₹393,848,044",5,21,cars24,"Gajendra Jangid, Mehul Agrawal, Ruchit Agarwal, Vikram Chopra",4,,0.0,0.0,0.0,0.0
Bharat Biotech,Hyderabad,1996,"Krishna Ella, Suchitra Ella",Biotechnology,India's second-largest vaccine manufacturer,501-1000,"₹14,100,000",3,3,bharat biotech,"Krishna Ella, Suchitra Ella",2,,0.0,0.0,0.0,0.0
Skillmatics,Mumbai,2016,"Devanshi Kejriwal, Dhvanil Sheth","Children, Education",Skillmatics creates educational games for children in pre-school and primary school.,Nov-50,"₹7,419,353",2,2,skillmatics,"Devanshi Kejriwal, Dhvanil Sheth",2,,0.0,0.0,0.0,0.0
Rapido,Bengaluru,2015,"Aravind Sanka, Pavan Guntupalli, Rishikesh SR","Information Services, Mobile Apps, Public Transportation, Taxi Service, Transportation",Rapido is an online bike taxi aggregator and logistics service that enables people to share their bicycles with others.,1001-5000,"₹121,996,807",9,32,rapido,"Aravind Sanka, Pavan Guntupalli, Rishikesh SR",3,rapido,0.0,4.0,327.95,7.0
Reliance Jio,Mumbai,2010,Mukesh Ambani,"Apps, Information Services, Internet, Telecommunications",Reliance Jio is a telecommunications firm that provides high-speed mobile internet connection in India.,10001+,"₹24,767,620,475",16,35,reliance jio,Mukesh Ambani,1,,0.0,0.0,0.0,0.0
YourStory,Bengaluru,2008,Shradha Sharma,"Information Technology, Internet, News, Public Relations, Publishing",YourStory.com is a media website that focuses on India's startup scene.,101-250,"₹8,469,522",3,6,yourstory,Shradha Sharma,1,yourstory,0.0,2.0,24.75,8.0
Kodo,Mumbai,2019,"Deepti Sanghi, Gaurav Thapa","B2B, Financial Services, FinTech, Small and Medium Businesses",Kodo is a fintech startup that focuses on small businesses' corporate card and B2B payments needs.,Nov-50,"₹8,736,466",2,5,kodo,"Deepti Sanghi, Gaurav Thapa",2,,0.0,0.0,0.0,0.0
Practo,Bengaluru,2008,"Abhinav Lal, Shashank ND","Health Care, Health Diagnostics, Medical, mHealth, Mobile Apps, Pharmaceutical, Wellness","Practo is a mhealth platform that allows patients to make appointments, check-ups, and consultations with healthcare practitioners.",5001-10000,"₹228,246,376",7,14,practo,"Abhinav Lal, Shashank ND",2,practo,0.0,3.0,1443.75,11.0
NiYO Solutions,Bengaluru,2015,Virender Bisht,"Finance, Financial Services, FinTech",NiYO is a fintech startup that makes it easier for salaried employees to get access to business benefits and other financial services.,Nov-50,"₹49,200,000",3,5,niyo solutions,Virender Bisht,1,niyo solutions,1.0,3.0,141.57,2.0
